kyberS1_p2_0.02.txt
Time	B0	B1	B2	B3
0.00000	12	0	0	0
0.21046	11	0	0	0
0.83768	10	0	0	0
0.85664	 9	0	0	0
0.86480	 8	0	0	0
0.91287	 7	0	0	0
0.93292	 7	1	0	0
0.94827	 6	1	0	0
0.94880	 6	2	0	0
0.95415	 5	2	0	0
0.95640	 4	2	0	0
0.97490	 3	2	0	0
0.97564	 2	2	0	0
0.97711	 2	3	0	0
0.98796	 1	3	0	0
0.99580	 1	4	0	0
1.70248	 1	2	0	0
1.92979	 1	1	0	0
1.93126	 1	0	0	0
    Inf	 1	0	0	0

kyberS1_p2_0.06.txt
Time	B0	B1	B2	B3
0.00000	28	 0	0	0
0.21046	27	 0	0	0
0.65700	26	 0	0	0
0.77680	25	 0	0	0
0.79729	24	 0	0	0
0.82240	23	 0	0	0
0.82640	22	 0	0	0
0.83768	21	 0	0	0
0.85664	20	 0	0	0
0.86480	19	 0	0	0
0.86675	18	 0	0	0
0.87558	17	 0	0	0
0.88210	16	 0	0	0
0.88822	15	 0	0	0
0.90260	14	 0	0	0
0.90970	13	 0	0	0
0.91287	13	 1	0	0
0.91750	11	 1	0	0
0.91942	10	 1	0	0
0.92140	 9	 1	0	0
0.92200	 9	 2	0	0
0.92212	 9	 3	0	0
0.92244	 8	 3	0	0
0.92285	 8	 4	0	0
0.92309	 8	 5	0	0
0.92519	 7	 5	0	0
0.92654	 7	 6	0	0
0.92656	 7	 7	0	0
0.92703	 7	 8	0	0
0.93290	 7	 9	0	0
0.93292	 7	10	0	0
0.93925	 7	11	0	0
0.94067	 7	12	0	0
0.94140	 7	13	0	0
0.94520	 7	14	0	0
0.94827	 6	14	0	0
0.94880	 6	15	0	0
0.95110	 6	16	0	0
0.95333	 6	17	0	0
0.95415	 5	17	0	0
0.95640	 4	17	0	0
0.97290	 4	18	0	0
0.97490	 3	18	0	0
0.97564	 2	18	0	0
0.97711	 2	19	0	0
0.98796	 1	19	0	0
0.99580	 1	20	0	0
1.65890	 1	19	0	0
1.66008	 1	16	0	0
1.68720	 1	12	0	0
1.70248	 1	11	0	0
1.70334	 1	10	0	0
1.74390	 1	 7	0	0
1.74943	 1	 7	1	0
1.75296	 1	 6	1	0
1.75496	 1	 5	1	0
1.75930	 1	 4	1	0
1.81022	 1	 3	1	0
1.84340	 1	 3	2	0
1.84485	 1	 3	1	0
1.88260	 1	 2	1	0
1.89809	 1	 2	2	0
1.92979	 1	 1	2	0
1.93126	 1	 0	2	0
2.23109	 1	 0	1	0
2.32103	 1	 0	1	1
2.33639	 1	 0	1	0
2.58030	 1	 0	0	0
    Inf	 1	 0	0	0

kyberS1_p2_0.1.txt
Time	B0	B1	B2	B3
0.00000	68	 0	0	0
0.18634	67	 0	0	0
0.20586	66	 0	0	0
0.21046	65	 0	0	0
0.54193	64	 0	0	0
0.56490	63	 0	0	0
0.56597	62	 0	0	0
0.60790	61	 0	0	0
0.62772	60	 0	0	0
0.64716	59	 0	0	0
0.65700	58	 0	0	0
0.66785	57	 0	0	0
0.69690	56	 0	0	0
0.72264	55	 0	0	0
0.77630	54	 0	0	0
0.77680	53	 0	0	0
0.79530	52	 0	0	0
0.79729	51	 0	0	0
0.80963	50	 0	0	0
0.82240	49	 0	0	0
0.82640	48	 0	0	0
0.82644	47	 0	0	0
0.83573	47	 1	0	0
0.83768	46	 1	0	0
0.85488	45	 1	0	0
0.85664	44	 1	0	0
0.86675	43	 1	0	0
0.87083	42	 1	0	0
0.87558	41	 1	0	0
0.88210	41	 2	0	0
0.88663	40	 2	0	0
0.88822	39	 2	0	0
0.89030	38	 2	0	0
0.89440	37	 2	0	0
0.89608	36	 2	0	0
0.89620	35	 2	0	0
0.89830	35	 3	0	0
0.90096	34	 3	0	0
0.90257	34	 4	0	0
0.90260	33	 5	0	0
0.90539	33	 6	0	0
0.90970	32	 6	0	0
0.91287	32	 7	0	0
0.91403	32	 8	0	0
0.91476	31	 8	0	0
0.91563	31	 9	0	0
0.91750	29	 9	0	0
0.91942	28	 9	0	0
0.92140	27	 9	0	0
0.92200	27	10	0	0
0.92212	27	11	0	0
0.92244	27	12	0	0
0.92285	27	13	0	0
0.92309	27	14	0	0
0.92519	27	15	0	0
0.92532	26	15	0	0
0.92654	26	16	0	0
0.92656	26	17	0	0
0.92703	26	18	0	0
0.93175	25	18	0	0
0.93238	25	19	0	0
0.93290	25	20	0	0
0.93292	25	21	0	0
0.93414	25	22	0	0
0.93416	24	22	0	0
0.93522	24	23	0	0
0.93592	24	24	0	0
0.93788	23	24	0	0
0.93925	23	25	0	0
0.93979	23	26	0	0
0.93980	23	27	0	0
0.93997	22	27	0	0
0.94067	22	28	0	0
0.94070	21	28	0	0
0.94116	21	29	0	0
0.94140	21	30	0	0
0.94325	21	31	0	0
0.94440	21	32	0	0
0.94520	21	33	0	0
0.94640	20	33	0	0
0.94663	19	33	0	0
0.94699	18	33	0	0
0.94795	18	34	0	0
0.94827	17	34	0	0
0.94880	17	35	0	0
0.95047	16	35	0	0
0.95107	16	36	0	0
0.95110	16	37	0	0
0.95260	15	37	0	0
0.95333	15	38	0	0
0.95415	15	39	0	0
0.95511	15	40	0	0
0.95640	14	40	0	0
0.95670	14	41	0	0
0.96101	13	41	0	0
0.96110	13	42	0	0
0.96126	12	42	0	0
0.96275	11	42	0	0
0.96280	11	43	0	0
0.96385	11	44	0	0
0.96426	11	45	0	0
0.96574	11	46	0	0
0.96685	11	47	0	0
0.96913	10	47	0	0
0.97012	10	48	0	0
0.97049	 9	48	0	0
0.97196	 9	49	0	0
0.97231	 9	50	0	0
0.97290	 9	51	0	0
0.97373	 9	52	0	0
0.97490	 8	52	0	0
0.97564	 7	52	0	0
0.97679	 6	52	0	0
0.97711	 6	53	0	0
0.97715	 5	53	0	0
0.97774	 5	54	0	0
0.97810	 4	54	0	0
0.97825	 4	55	0	0
0.97934	 4	56	0	0
0.97996	 4	57	0	0
0.98004	 4	58	0	0
0.98100	 4	59	0	0
0.98110	 4	60	0	0
0.98165	 4	61	0	0
0.98230	 3	61	0	0
0.98240	 3	62	0	0
0.98660	 3	63	0	0
0.98796	 2	63	0	0
0.99328	 2	64	0	0
0.99580	 2	65	0	0
0.99774	 1	65	0	0
0.99820	 1	66	0	0
0.99940	 1	67	0	0
0.99955	 1	68	0	0
1.03230	 1	59	0	0
1.10790	 1	58	0	0
1.11989	 1	57	0	0
1.15846	 1	56	0	0
1.16002	 1	55	0	0
1.16965	 1	54	0	0
1.18909	 1	53	0	0
1.29557	 1	46	0	0
1.43330	 1	45	0	0
1.43380	 1	44	0	0
1.44445	 1	43	0	0
1.45429	 1	42	0	0
1.47370	 1	41	0	0
1.50380	 1	40	0	0
1.51196	 1	38	0	0
1.51391	 1	37	0	0
1.53538	 1	35	0	0
1.54156	 1	34	0	0
1.54546	 1	33	0	0
1.54974	 1	32	0	0
1.56658	 1	31	0	0
1.56880	 1	30	0	0
1.57160	 1	29	0	0
1.60050	 1	28	0	0
1.61832	 1	27	0	0
1.63797	 1	26	0	0
1.66008	 1	23	0	0
1.68309	 1	22	0	0
1.69313	 1	21	0	0
1.69323	 1	18	0	0
1.70074	 1	16	0	0
1.74390	 1	13	0	0
1.75921	 1	11	0	0
1.79558	 1	10	0	0
1.79989	 1	 8	0	0
1.81970	 1	 7	0	0
1.82778	 1	 6	0	0
1.88831	 1	 5	0	0
1.89842	 1	 1	0	0
1.92864	 1	 0	0	0
    Inf	 1	 0	0	0

kyberS1_p2_0.14.txt
Time	B0	B1	B2	B3
0.00000	73	 0	0	0
0.18634	72	 0	0	0
0.20586	71	 0	0	0
0.20602	70	 0	0	0
0.21046	69	 0	0	0
0.23080	68	 0	0	0
0.35710	67	 0	0	0
0.41660	66	 0	0	0
0.54193	65	 0	0	0
0.56490	64	 0	0	0
0.56597	63	 0	0	0
0.60790	62	 0	0	0
0.62772	61	 0	0	0
0.64716	60	 0	0	0
0.65700	59	 0	0	0
0.66785	58	 0	0	0
0.69690	57	 0	0	0
0.72264	56	 0	0	0
0.77630	55	 0	0	0
0.77680	54	 0	0	0
0.79530	53	 0	0	0
0.79729	52	 0	0	0
0.80963	51	 0	0	0
0.82240	50	 0	0	0
0.82640	49	 0	0	0
0.82644	48	 0	0	0
0.83573	48	 1	0	0
0.83768	47	 1	0	0
0.84634	47	 2	0	0
0.85488	46	 2	0	0
0.85640	45	 2	0	0
0.85664	44	 2	0	0
0.87083	43	 2	0	0
0.87420	42	 2	0	0
0.87558	41	 2	0	0
0.88210	41	 3	0	0
0.88250	40	 3	0	0
0.88663	39	 3	0	0
0.88822	38	 3	0	0
0.89030	37	 3	0	0
0.89440	36	 3	0	0
0.89608	35	 3	0	0
0.89620	34	 3	0	0
0.89830	34	 4	0	0
0.90096	33	 4	0	0
0.90257	33	 5	0	0
0.90260	32	 6	0	0
0.90539	32	 7	0	0
0.91287	32	 8	0	0
0.91403	32	 9	0	0
0.91476	31	 9	0	0
0.91563	31	10	0	0
0.91750	30	11	0	0
0.91942	29	11	0	0
0.92212	29	12	0	0
0.92244	29	13	0	0
0.92285	29	14	0	0
0.92309	29	15	0	0
0.92519	29	16	0	0
0.92532	29	17	0	0
0.92654	29	18	0	0
0.92656	29	19	0	0
0.92703	29	20	0	0
0.93175	28	20	0	0
0.93238	28	21	0	0
0.93290	28	22	0	0
0.93292	28	23	0	0
0.93414	28	24	0	0
0.93416	27	24	0	0
0.93522	27	25	0	0
0.93592	27	26	0	0
0.93788	26	26	0	0
0.93925	26	27	0	0
0.93979	26	28	0	0
0.93980	26	29	0	0
0.93997	25	29	0	0
0.94067	25	30	0	0
0.94070	24	30	0	0
0.94116	24	31	0	0
0.94140	24	32	0	0
0.94325	24	33	0	0
0.94440	24	34	0	0
0.94490	24	35	0	0
0.94520	24	36	0	0
0.94640	23	36	0	0
0.94663	22	36	0	0
0.94699	21	36	0	0
0.94795	21	37	0	0
0.94827	20	37	0	0
0.94880	20	38	0	0
0.95047	19	38	0	0
0.95107	19	39	0	0
0.95260	18	39	0	0
0.95281	17	39	0	0
0.95333	17	40	0	0
0.95415	17	41	0	0
0.95511	17	42	0	0
0.95640	16	42	0	0
0.95670	16	43	0	0
0.95885	16	44	0	0
0.96101	16	45	0	0
0.96126	15	45	0	0
0.96275	14	45	0	0
0.96280	14	46	0	0
0.96385	14	47	0	0
0.96426	14	48	0	0
0.96574	14	49	0	0
0.96685	14	50	0	0
0.96913	13	50	0	0
0.97049	12	50	0	0
0.97196	12	51	0	0
0.97231	12	52	0	0
0.97290	12	53	0	0
0.97373	12	54	0	0
0.97490	11	54	0	0
0.97564	10	54	0	0
