Time	B0	B1	B2	B3
0.00000	38	 0	0	0
0.18634	37	 0	0	0
0.19672	36	 0	0	0
0.20602	35	 0	0	0
0.21046	34	 0	0	0
0.23080	33	 0	0	0
0.56597	32	 0	0	0
0.64431	31	 0	0	0
0.65700	30	 0	0	0
0.68700	29	 0	0	0
0.81195	28	 0	0	0
0.82644	27	 0	0	0
0.82833	26	 0	0	0
0.82840	25	 0	0	0
0.84750	24	 0	0	0
0.84953	23	 0	0	0
0.85640	22	 0	0	0
0.85875	21	 0	0	0
0.86780	20	 0	0	0
0.86838	19	 0	0	0
0.87083	19	 1	0	0
0.88822	18	 1	0	0
0.89440	18	 2	0	0
0.90202	18	 1	0	0
0.90257	17	 1	0	0
0.91942	16	 1	0	0
0.92157	16	 2	0	0
0.92163	15	 2	0	0
0.92212	14	 2	0	0
0.92275	14	 3	0	0
0.92285	14	 4	0	0
0.92419	13	 4	0	0
0.92600	12	 4	0	0
0.92612	12	 5	0	0
0.92656	12	 6	0	0
0.93313	11	 6	0	0
0.93643	11	 7	0	0
0.93997	10	 7	0	0
0.94067	10	 8	0	0
0.94070	 9	 8	0	0
0.94325	 9	 9	0	0
0.94440	 9	10	0	0
0.94460	 9	11	0	0
0.94490	 9	12	0	0
0.94640	 8	12	0	0
0.94827	 7	12	0	0
0.94844	 6	12	0	0
0.95047	 6	13	0	0
0.95416	 6	14	0	0
0.95807	 5	14	0	0
0.95830	 5	15	0	0
0.96110	 5	16	0	0
0.96403	 5	17	0	0
0.96685	 5	18	0	0
0.96869	 5	19	0	0
0.97996	 5	20	0	0
0.98272	 4	20	0	0
0.98796	 3	20	0	0
0.99022	 2	20	0	0
0.99125	 2	21	0	0
0.99654	 1	21	0	0
0.99970	 1	22	0	0
1.21028	 1	21	0	0
1.25297	 1	20	0	0
1.39242	 1	19	0	0
1.39430	 1	18	0	0
1.48539	 1	17	0	0
1.49016	 1	16	0	0
1.49910	 1	15	0	0
1.50594	 1	14	0	0
1.51237	 1	13	0	0
1.51442	 1	12	0	0
1.51514	 1	10	0	0
1.70390	 1	 8	0	0
1.71530	 1	 6	0	0
1.73775	 1	 5	0	0
1.74190	 1	 2	0	0
1.75080	 1	 1	0	0
1.84812	 1	 0	0	0
1.86667	 1	 0	1	0
2.59143	 1	 0	0	0
    Inf	 1	 0	0	0
