Time	B0	B1	B2	B3
0.00000	29	 0	0	0
0.20586	28	 0	0	0
0.26120	27	 0	0	0
0.54193	26	 0	0	0
0.56490	25	 0	0	0
0.56597	24	 0	0	0
0.62772	23	 0	0	0
0.64431	22	 0	0	0
0.64716	21	 0	0	0
0.66785	20	 0	0	0
0.68250	19	 0	0	0
0.68700	18	 0	0	0
0.80760	17	 0	0	0
0.82644	16	 0	0	0
0.82840	16	 1	0	0
0.83573	16	 2	0	0
0.85664	15	 2	0	0
0.86838	14	 2	0	0
0.87083	14	 3	0	0
0.89440	14	 4	0	0
0.91403	14	 5	0	0
0.91476	13	 5	0	0
0.91563	13	 6	0	0
0.91942	12	 6	0	0
0.92419	11	 6	0	0
0.93189	10	 6	0	0
0.93313	 9	 6	0	0
0.93592	 9	 7	0	0
0.93643	 9	 8	0	0
0.93979	 9	 9	0	0
0.94640	 8	 9	0	0
0.94795	 8	10	0	0
0.94827	 7	10	0	0
0.95047	 7	11	0	0
0.95260	 7	12	0	0
0.95281	 6	12	0	0
0.95670	 6	13	0	0
0.95807	 5	13	0	0
0.96275	 4	13	0	0
0.96385	 4	14	0	0
0.96403	 4	15	0	0
0.96685	 4	16	0	0
0.97012	 4	17	0	0
0.97231	 4	18	0	0
0.97373	 4	19	0	0
0.97715	 3	19	0	0
0.97996	 3	20	0	0
0.98110	 3	21	0	0
0.99022	 2	21	0	0
0.99125	 2	22	0	0
0.99654	 1	22	0	0
0.99780	 1	23	0	0
1.00000	 1	19	0	0
1.07424	 1	18	0	0
1.10790	 1	17	0	0
1.11989	 1	16	0	0
1.15846	 1	15	0	0
1.16002	 1	14	0	0
1.16965	 1	13	0	0
1.18624	 1	12	0	0
1.18909	 1	11	0	0
1.22893	 1	10	0	0
1.29557	 1	 0	0	0
    Inf	 1	 0	0	0
