Time	B0	B1	B2	B3
0.00000	112	  0	0	0
0.18634	111	  0	0	0
0.19672	110	  0	0	0
0.20586	109	  0	0	0
0.20602	108	  0	0	0
0.21046	107	  0	0	0
0.23080	106	  0	0	0
0.26120	105	  0	0	0
0.29500	104	  0	0	0
0.35710	103	  0	0	0
0.41660	102	  0	0	0
0.54193	101	  0	0	0
0.56490	100	  0	0	0
0.56597	 99	  0	0	0
0.57365	 98	  0	0	0
0.60790	 97	  0	0	0
0.62772	 96	  0	0	0
0.64431	 95	  0	0	0
0.64716	 94	  0	0	0
0.65700	 93	  0	0	0
0.66785	 92	  0	0	0
0.68250	 91	  0	0	0
0.68700	 90	  0	0	0
0.69690	 89	  0	0	0
0.72044	 88	  0	0	0
0.72264	 87	  0	0	0
0.75763	 86	  0	0	0
0.77630	 85	  0	0	0
0.77680	 84	  0	0	0
0.79175	 83	  0	0	0
0.79530	 82	  0	0	0
0.79847	 81	  0	0	0
0.80380	 80	  0	0	0
0.80760	 79	  0	0	0
0.80963	 78	  0	0	0
0.81195	 77	  0	0	0
0.81371	 76	  0	0	0
0.82240	 75	  0	0	0
0.82640	 74	  0	0	0
0.82644	 74	  1	0	0
0.82840	 74	  2	0	0
0.83573	 74	  3	0	0
0.83768	 73	  3	0	0
0.84543	 72	  3	0	0
0.84750	 71	  3	0	0
0.84953	 70	  3	0	0
0.85140	 69	  3	0	0
0.85488	 68	  3	0	0
0.85640	 67	  3	0	0
0.85664	 66	  3	0	0
0.85875	 66	  4	0	0
0.86157	 65	  4	0	0
0.86642	 64	  4	0	0
0.86675	 63	  4	0	0
0.86780	 62	  4	0	0
0.86838	 62	  5	0	0
0.87083	 61	  6	0	0
0.87420	 60	  6	0	0
0.87558	 59	  6	0	0
0.88106	 58	  6	0	0
0.88250	 58	  7	0	0
0.88663	 57	  7	0	0
0.88822	 56	  7	0	0
0.89030	 55	  7	0	0
0.89337	 54	  7	0	0
0.89440	 54	  8	0	0
0.89504	 53	  8	0	0
0.89608	 52	  8	0	0
0.89830	 52	  9	0	0
0.89973	 52	 10	0	0
0.90096	 51	 10	0	0
0.90202	 51	  9	0	0
0.90260	 51	 10	0	0
0.90957	 51	 11	0	0
0.90970	 50	 11	0	0
0.91269	 50	 12	0	0
0.91287	 50	 13	0	0
0.91290	 49	 13	0	0
0.91327	 49	 14	0	0
0.91350	 49	 15	0	0
0.91476	 48	 16	0	0
0.91540	 47	 16	0	0
0.91563	 47	 17	0	0
0.91750	 47	 20	0	0
0.91942	 46	 20	0	0
0.92140	 45	 20	0	0
0.92157	 45	 21	0	0
0.92170	 44	 21	0	0
0.92200	 44	 22	0	0
0.92212	 44	 23	0	0
0.92244	 44	 24	0	0
0.92254	 44	 25	0	0
0.92280	 44	 26	0	0
0.92285	 44	 27	0	0
0.92309	 44	 28	0	0
0.92380	 44	 22	0	0
0.92419	 43	 22	0	0
0.92433	 43	 23	0	0
0.92495	 42	 23	0	0
0.92519	 42	 24	0	0
0.92532	 42	 25	0	0
0.92541	 42	 26	0	0
0.92600	 42	 27	0	0
0.92612	 42	 28	0	0
0.92654	 42	 29	0	0
0.92656	 42	 30	0	0
0.92687	 41	 30	0	0
0.92703	 41	 31	0	0
0.92980	 40	 31	0	0
0.93010	 40	 32	0	0
0.93110	 40	 33	0	0
0.93144	 40	 34	0	0
0.93175	 39	 34	0	0
0.93189	 38	 34	0	0
0.93238	 38	 35	0	0
0.93290	 38	 36	0	0
0.93292	 38	 37	0	0
0.93313	 37	 37	0	0
0.93414	 37	 38	0	0
0.93416	 36	 38	0	0
0.93522	 36	 39	0	0
0.93563	 36	 41	0	0
0.93565	 36	 42	0	0
0.93592	 36	 43	0	0
0.93780	 35	 43	0	0
0.93788	 34	 43	0	0
0.93925	 34	 44	0	0
0.93980	 34	 45	0	0
0.94015	 33	 45	0	0
0.94067	 33	 46	0	0
0.94070	 33	 47	0	0
0.94116	 33	 48	0	0
0.94140	 33	 49	0	0
0.94313	 33	 50	0	0
0.94325	 33	 51	0	0
0.94331	 33	 52	0	0
0.94384	 33	 53	0	0
0.94460	 33	 54	0	0
0.94490	 33	 55	0	0
0.94520	 33	 56	0	0
0.94640	 32	 56	0	0
0.94663	 31	 56	0	0
0.94699	 30	 56	0	0
0.94730	 30	 57	0	0
0.94795	 30	 59	0	0
0.94827	 29	 59	0	0
0.94880	 29	 61	0	0
0.95047	 29	 62	0	0
0.95107	 29	 63	0	0
0.95110	 29	 64	0	0
0.95260	 29	 65	0	0
0.95280	 29	 66	0	0
0.95281	 29	 67	0	0
0.95333	 29	 68	0	0
0.95640	 29	 69	0	0
0.95670	 29	 70	0	0
0.95807	 28	 70	0	0
0.95870	 27	 70	0	0
0.95885	 27	 71	0	0
0.96030	 27	 72	0	0
0.96101	 27	 73	0	0
0.96106	 27	 74	0	0
0.96110	 27	 73	0	0
0.96126	 26	 73	0	0
0.96141	 25	 73	0	0
0.96250	 25	 74	0	0
0.96275	 24	 74	0	0
0.96280	 24	 75	0	0
0.96336	 24	 76	0	0
0.96385	 24	 77	0	0
0.96399	 24	 78	0	0
0.96426	 24	 79	0	0
0.96530	 23	 79	0	0
0.96574	 23	 80	0	0
0.96685	 23	 81	0	0
0.96876	 23	 82	0	0
0.96886	 23	 81	0	0
0.96940	 22	 81	0	0
0.97035	 22	 80	0	0
0.97049	 21	 80	0	0
0.97173	 21	 81	0	0
0.97196	 21	 82	0	0
0.97206	 20	 82	0	0
0.97231	 20	 83	0	0
0.97275	 19	 83	0	0
0.97290	 19	 84	0	0
0.97299	 19	 85	0	0
0.97301	 18	 85	0	0
0.97373	 18	 86	0	0
0.97411	 17	 86	0	0
0.97439	 17	 87	0	0
0.97490	 17	 88	0	0
0.97564	 16	 88	0	0
0.97679	 15	 88	0	0
0.97688	 14	 88	0	0
0.97711	 14	 89	0	0
0.97715	 13	 89	0	0
0.97774	 13	 90	0	0
0.97809	 13	 91	0	0
0.97810	 13	 92	0	0
0.97825	 13	 93	0	0
0.97934	 13	 94	0	0
0.97935	 12	 94	0	0
0.98004	 12	 95	0	0
0.98080	 12	 96	0	0
0.98100	 12	 97	0	0
0.98110	 12	 98	0	0
0.98150	 11	 98	0	0
0.98165	 11	 99	0	0
0.98230	 11	100	0	0
0.98315	 11	101	0	0
0.98320	 11	102	0	0
0.98321	 11	103	0	0
0.98418	 11	104	0	0
0.98420	 11	105	0	0
0.98502	 11	106	0	0
0.98511	 11	107	0	0
0.98555	 11	108	0	0
0.98653	 11	109	0	0
0.98683	 10	109	0	0
0.98691	 10	110	0	0
0.98710	  9	110	0	0
0.98723	  8	110	0	0
0.98732	  8	111	0	0
0.98835	  8	112	0	0
0.99000	  7	112	0	0
0.99030	  7	113	0	0
0.99046	  7	114	0	0
0.99075	  6	114	0	0
0.99076	  6	115	0	0
0.99200	  6	116	0	0
0.99268	  5	116	0	0
0.99300	  5	117	0	0
0.99322	  5	118	0	0
0.99328	  5	119	0	0
0.99350	  5	120	0	0
0.99380	  5	121	0	0
0.99390	  5	122	0	0
0.99484	  4	122	0	0
0.99580	  4	123	0	0
0.99581	  4	124	0	0
0.99590	  3	124	0	0
0.99640	  3	125	0	0
0.99649	  3	126	0	0
0.99665	  3	127	0	0
0.99733	  2	128	0	0
0.99761	  2	127	0	0
0.99774	  2	128	0	0
0.99780	  2	129	0	0
0.99808	  2	130	0	0
0.99812	  2	131	0	0
0.99820	  2	121	0	0
0.99840	  1	121	0	0
0.99860	  1	122	0	0
0.99940	  1	123	0	0
0.99970	  1	116	0	0
1.00000	  1	100	0	0
    Inf	  1	100	0	0
