kyberS10Step2.txt
Time	B0	B1	B2	B3
0.00000	17	 0	0	0
0.18634	16	 0	0	0
0.20602	15	 0	0	0
0.21046	14	 0	0	0
0.64716	13	 0	0	0
0.82240	12	 0	0	0
0.83768	11	 0	0	0
0.85664	10	 0	0	0
0.86480	 9	 0	0	0
0.87558	 8	 0	0	0
0.88822	 7	 0	0	0
0.90257	 6	 0	0	0
0.91287	 6	 1	0	0
0.91942	 5	 1	0	0
0.92254	 5	 2	0	0
0.92285	 5	 3	0	0
0.92495	 4	 3	0	0
0.92600	 4	 4	0	0
0.92654	 4	 5	0	0
0.92703	 4	 6	0	0
0.93010	 4	 7	0	0
0.93290	 3	 7	0	0
0.93292	 3	 8	0	0
0.93780	 2	 8	0	0
0.93925	 2	 9	0	0
0.94140	 2	10	0	0
0.94313	 2	11	0	0
0.94795	 2	12	0	0
0.94880	 2	13	0	0
0.95280	 2	14	0	0
0.95333	 2	15	0	0
0.99000	 1	15	0	0
0.99350	 1	16	0	0
0.99733	 1	17	0	0
1.50380	 1	15	0	0
1.51196	 1	13	0	0
1.53538	 1	11	0	0
1.54974	 1	 9	0	0
1.56658	 1	 7	0	0
1.56880	 1	 5	0	0
1.59029	 1	 4	0	0
1.59511	 1	 3	0	0
1.59996	 1	 2	0	0
1.60050	 1	 1	0	0
1.66008	 1	 0	0	0
    Inf	 1	 0	0	0

kyberS10Step3.txt
Time	B0	B1	B2	B3
0.00000	17	 0	0	0
0.18634	16	 0	0	0
0.20602	15	 0	0	0
0.21046	14	 0	0	0
0.64716	13	 0	0	0
0.82240	12	 0	0	0
0.83768	11	 0	0	0
0.85664	10	 0	0	0
0.86480	 9	 0	0	0
0.87558	 8	 0	0	0
0.88822	 7	 0	0	0
0.90257	 6	 0	0	0
0.91287	 6	 1	0	0
0.91942	 5	 1	0	0
0.92254	 5	 2	0	0
0.92285	 5	 3	0	0
0.92495	 4	 3	0	0
0.92600	 4	 4	0	0
0.92654	 4	 5	0	0
0.92703	 4	 6	0	0
0.93010	 4	 7	0	0
0.93290	 3	 7	0	0
0.93292	 3	 8	0	0
0.93780	 2	 8	0	0
0.93925	 2	 9	0	0
0.94140	 2	10	0	0
0.94313	 2	11	0	0
0.94795	 2	12	0	0
0.94880	 2	13	0	0
0.95280	 2	14	0	0
0.95333	 2	15	0	0
0.99000	 1	15	0	0
0.99350	 1	16	0	0
0.99733	 1	17	0	0
1.50380	 1	15	0	0
1.51196	 1	13	0	0
1.53538	 1	11	0	0
1.54974	 1	 9	0	0
1.56658	 1	 7	0	0
