Time	B0	B1	B2	B3
0.00000	86	 0	0	0
0.18634	85	 0	0	0
0.19672	84	 0	0	0
0.20586	83	 0	0	0
0.20602	82	 0	0	0
0.21046	81	 0	0	0
0.23080	80	 0	0	0
0.26120	79	 0	0	0
0.29500	78	 0	0	0
0.54193	77	 0	0	0
0.56490	76	 0	0	0
0.56597	75	 0	0	0
0.57365	74	 0	0	0
0.60790	73	 0	0	0
0.62772	72	 0	0	0
0.64431	71	 0	0	0
0.64716	70	 0	0	0
0.65700	69	 0	0	0
0.66785	68	 0	0	0
0.68250	67	 0	0	0
0.68700	66	 0	0	0
0.69690	65	 0	0	0
0.72044	64	 0	0	0
0.75763	63	 0	0	0
0.77630	62	 0	0	0
0.77680	61	 0	0	0
0.79175	60	 0	0	0
0.79530	59	 0	0	0
0.79847	58	 0	0	0
0.80380	57	 0	0	0
0.80760	56	 0	0	0
0.80963	55	 0	0	0
0.82644	55	 1	0	0
0.82840	55	 2	0	0
0.83573	55	 3	0	0
0.84953	54	 3	0	0
0.85664	53	 3	0	0
0.85875	53	 4	0	0
0.86675	52	 4	0	0
0.86838	51	 4	0	0
0.87083	51	 5	0	0
0.88663	50	 5	0	0
0.88822	49	 5	0	0
0.89030	48	 5	0	0
0.89337	47	 5	0	0
0.89440	47	 6	0	0
0.89504	46	 6	0	0
0.90096	45	 6	0	0
0.90202	45	 5	0	0
0.90957	45	 6	0	0
0.91269	45	 7	0	0
0.91287	44	 7	0	0
0.91476	43	 7	0	0
0.91540	42	 7	0	0
0.91563	42	 8	0	0
0.91942	41	 8	0	0
0.92170	40	 8	0	0
0.92380	40	 7	0	0
0.92419	39	 7	0	0
0.92980	38	 7	0	0
0.93144	37	 7	0	0
0.93175	36	 7	0	0
0.93189	35	 7	0	0
0.93238	35	 8	0	0
0.93313	34	 8	0	0
0.93416	33	 8	0	0
0.93522	33	 9	0	0
0.93565	33	10	0	0
0.93592	33	11	0	0
0.93643	33	12	0	0
0.93788	32	12	0	0
0.93979	32	13	0	0
0.94015	31	13	0	0
0.94313	30	13	0	0
0.94331	30	14	0	0
0.94640	29	14	0	0
0.94663	28	14	0	0
0.94795	27	15	0	0
0.94827	26	15	0	0
0.95047	26	16	0	0
0.95107	26	17	0	0
0.95260	26	18	0	0
0.95281	25	18	0	0
0.95670	25	19	0	0
0.95807	24	19	0	0
0.95885	24	20	0	0
0.96101	24	21	0	0
0.96106	24	22	0	0
0.96126	23	22	0	0
0.96141	22	22	0	0
0.96250	22	23	0	0
0.96275	21	23	0	0
0.96336	21	24	0	0
0.96385	21	25	0	0
0.96399	21	26	0	0
0.96403	21	27	0	0
0.96530	20	27	0	0
0.96574	20	28	0	0
0.96685	20	29	0	0
0.96876	20	30	0	0
0.96886	20	29	0	0
0.97012	20	30	0	0
0.97173	20	31	0	0
0.97196	20	32	0	0
0.97206	19	32	0	0
0.97231	19	33	0	0
0.97301	18	33	0	0
0.97373	18	34	0	0
0.97439	18	35	0	0
0.97564	17	35	0	0
0.97679	16	35	0	0
0.97688	15	35	0	0
0.97711	14	35	0	0
0.97715	13	35	0	0
0.97774	13	36	0	0
0.97809	12	36	0	0
0.97810	11	36	0	0
0.97825	11	37	0	0
0.97935	10	37	0	0
0.97996	10	38	0	0
0.98100	10	39	0	0
0.98110	10	40	0	0
0.98150	 9	40	0	0
0.98196	 9	41	0	0
0.98230	 8	41	0	0
0.98321	 8	42	0	0
0.98420	 8	43	0	0
0.98511	 7	43	0	0
0.98683	 6	43	0	0
0.98691	 5	43	0	0
0.98710	 4	43	0	0
0.98732	 4	44	0	0
0.98835	 4	45	0	0
0.99000	 3	45	0	0
0.99046	 3	46	0	0
0.99075	 2	46	0	0
0.99076	 2	47	0	0
0.99125	 2	48	0	0
0.99649	 1	48	0	0
0.99761	 1	47	0	0
0.99780	 1	48	0	0
0.99820	 1	36	0	0
1.00000	 1	19	0	0
1.07424	 1	18	0	0
1.10790	 1	17	0	0
1.11989	 1	16	0	0
1.15846	 1	15	0	0
1.16002	 1	14	0	0
1.16965	 1	13	0	0
1.18624	 1	12	0	0
1.18909	 1	11	0	0
1.22893	 1	10	0	0
1.29557	 1	 0	0	0
    Inf	 1	 0	0	0
