Time	B0	B1	B2	B3
0.00000	376	0	0	0
1.00000	361	0	0	0
1.00001	356	0	0	0
1.00002	338	0	0	0
1.00003	335	0	0	0
1.00004	330	0	0	0
1.00005	327	0	0	0
1.00006	314	0	0	0
1.00007	313	0	0	0
1.00009	312	0	0	0
1.00010	311	0	0	0
1.00012	193	0	0	0
1.00024	189	0	0	0
1.00057	188	0	0	0
1.00507	187	0	0	0
1.00955	186	0	0	0
1.01014	185	0	0	0
1.01217	184	0	0	0
1.01359	183	0	0	0
1.02029	182	0	0	0
1.02637	181	0	0	0
1.03043	179	0	0	0
1.06390	178	0	0	0
1.07100	177	0	0	0
1.08987	176	0	0	0
1.10143	174	0	0	0
1.19094	173	0	0	0
1.20286	172	0	0	0
1.30429	171	0	0	0
1.31445	170	0	0	0
1.40572	169	0	0	0
4.00000	168	0	0	0
    Inf	168	0	0	0
