Time	B0	B1	B2	B3
0.00000	197	  0	0	0
1.00010	192	  0	0	0
1.00020	191	  0	0	0
1.00090	190	  0	0	0
1.00150	189	  0	0	0
1.00170	186	  0	0	0
1.00250	185	  0	0	0
1.00310	184	  0	0	0
1.00400	183	  0	0	0
1.00710	182	  0	0	0
1.00790	181	  0	0	0
1.00890	178	  0	0	0
1.00900	177	  0	0	0
1.00947	176	  0	0	0
1.00975	175	  0	0	0
1.01109	174	  0	0	0
1.01158	173	  0	0	0
1.01337	172	  0	0	0
1.01353	171	  0	0	0
1.01570	170	  0	0	0
1.01690	169	  0	0	0
1.01692	168	  0	0	0
1.01746	168	  1	0	0
1.01763	167	  1	0	0
1.01774	166	  1	0	0
1.01790	165	  1	0	0
1.01901	164	  1	0	0
1.01980	163	  1	0	0
1.02070	163	  2	0	0
1.02116	163	  3	0	0
1.02120	162	  3	0	0
1.02125	162	  4	0	0
1.02310	161	  4	0	0
1.02360	160	  4	0	0
1.02420	160	  5	0	0
1.02464	160	  6	0	0
1.02616	160	  7	0	0
1.02690	159	  7	0	0
1.02825	159	  8	0	0
1.03060	158	  8	0	0
1.03070	158	  9	0	0
1.03150	157	  9	0	0
1.03273	156	  9	0	0
1.03300	155	  9	0	0
1.03398	154	  9	0	0
1.03418	153	  9	0	0
1.03420	152	  9	0	0
1.03550	151	  9	0	0
1.03590	150	  9	0	0
1.03695	149	 10	0	0
1.03750	148	 10	0	0
1.03957	147	 10	0	0
1.04020	146	 10	0	0
1.04123	145	 10	0	0
1.04125	144	 10	0	0
1.04315	143	 10	0	0
1.04422	142	 10	0	0
1.04426	141	 10	0	0
1.04470	140	 10	0	0
1.04483	139	 10	0	0
1.04490	138	 10	0	0
1.04510	137	 10	0	0
1.04682	136	 10	0	0
1.04703	136	 11	0	0
1.04832	136	 12	0	0
1.04916	135	 12	0	0
1.05075	135	 13	0	0
1.05250	134	 13	0	0
1.05390	134	 14	0	0
1.05600	134	 15	0	0
1.05670	133	 15	0	0
1.05710	132	 15	0	0
1.05919	132	 16	0	0
1.06068	132	 17	0	0
1.06291	131	 17	0	0
1.06476	130	 17	0	0
1.06479	129	 17	0	0
1.06504	128	 17	0	0
1.06545	127	 17	0	0
1.06600	127	 18	0	0
1.06681	126	 18	0	0
1.06699	126	 19	0	0
1.06715	126	 20	0	0
1.06780	125	 20	0	0
1.06853	125	 21	0	0
1.06993	124	 21	0	0
1.07323	123	 21	0	0
1.07362	123	 22	0	0
1.07370	122	 22	0	0
1.07420	121	 22	0	0
1.07478	120	 22	0	0
1.07578	120	 23	0	0
1.07609	120	 24	0	0
1.07624	119	 24	0	0
1.07916	118	 24	0	0
1.08004	118	 25	0	0
1.08036	118	 26	0	0
1.08099	117	 26	0	0
1.08522	117	 27	0	0
1.08540	117	 28	0	0
1.08581	116	 28	0	0
1.08590	115	 28	0	0
1.08595	114	 28	0	0
1.08642	114	 29	0	0
1.08794	114	 30	0	0
1.08914	113	 30	0	0
1.08938	112	 30	0	0
1.08940	112	 31	0	0
1.08956	111	 31	0	0
1.09013	111	 32	0	0
1.09085	110	 32	0	0
1.09266	109	 32	0	0
1.09417	109	 33	0	0
1.09420	109	 34	0	0
1.09485	109	 35	0	0
1.09655	109	 36	0	0
1.09720	108	 36	0	0
1.09727	108	 37	0	0
1.09754	107	 37	0	0
1.09790	106	 37	0	0
1.09993	105	 37	0	0
1.10074	104	 37	0	0
1.10207	104	 38	0	0
1.10252	103	 38	0	0
1.10380	103	 39	0	0
1.10540	103	 41	0	0
1.10583	102	 41	0	0
1.10687	102	 42	0	0
1.10741	102	 43	0	0
1.10974	102	 44	0	0
1.11228	102	 45	0	0
1.11243	102	 46	0	0
1.11292	101	 46	0	0
1.11457	100	 46	0	0
1.11741	 99	 46	0	0
1.11918	 99	 47	0	0
1.12050	 99	 48	0	0
1.12493	 99	 49	0	0
1.12870	 99	 50	0	0
1.13123	 99	 51	0	0
1.13221	 98	 51	0	0
1.13328	 97	 51	0	0
1.13360	 96	 51	0	0
1.13430	 96	 52	0	0
1.13485	 95	 52	0	0
1.13490	 94	 52	0	0
1.13599	 93	 52	0	0
1.13930	 92	 52	0	0
